Actif;Date;High;Low;Open;Close;Volume
^FTSE;09/04/2013;6326.5;6276.9;6276.9;6313.2;613730800
^FTSE;08/04/2013;6289.6;6249.8;6249.8;6276.9;650412400
^FTSE;05/04/2013;6346.8;6214.4;6344.1;6249.8;668684000
^FTSE;04/04/2013;6426.4;6341.4;6420.3;6344.1;680161200
^FTSE;03/04/2013;6491.8;6416.7;6490.7;6420.3;676902200
^FTSE;02/04/2013;6501.8;6408.8;6411.7;6490.7;913557400
^FTSE;28/03/2013;6447.9;6382;6387.6;6411.7;731707000
^FTSE;27/03/2013;6420.9;6344.2;6399.4;6387.6;758411800
^FTSE;26/03/2013;6404.5;6369.6;6378.4;6399.4;650709400
^FTSE;25/03/2013;6458.5;6366.6;6392.8;6378.4;768531800
^FTSE;22/03/2013;6426.5;6374.5;6388.5;6392.8;770408600
^FTSE;21/03/2013;6435.6;6364;6432.7;6388.5;641944200
^FTSE;20/03/2013;6475.6;6421.3;6441.3;6432.7;732609800
^FTSE;19/03/2013;6474.6;6414.5;6457.9;6441.3;679522800
^FTSE;18/03/2013;6489.6;6386.2;6489.6;6457.9;789985800
^FTSE;15/03/2013;6533.8;6470.1;6529.4;6489.6;1262249300
^FTSE;14/03/2013;6532.6;6478.5;6481.5;6529.4;792751600
^FTSE;13/03/2013;6510.6;6437.6;6510.6;6481.5;666769800
^FTSE;12/03/2013;6534;6491.8;6503.6;6510.6;617257000
^FTSE;11/03/2013;6505.3;6473.6;6483.6;6503.6;630034000
^FTSE;08/03/2013;6489.5;6439.2;6439.2;6483.6;844774800
^FTSE;07/03/2013;6459.7;6427.3;6427.6;6439.2;923031400
^FTSE;06/03/2013;6461;6418.7;6432;6427.6;1098361500
^FTSE;05/03/2013;6437.3;6344.8;6345.6;6432;683560800
^FTSE;04/03/2013;6379.3;6333.2;6378.6;6345.6;704235600
^FTSE;01/03/2013;6391.7;6308.6;6360.8;6378.6;1106390000
^FTSE;28/02/2013;6372;6325.9;6325.9;6360.8;910118600
^FTSE;27/02/2013;6335.9;6269.3;6270.4;6325.9;707922400
^FTSE;26/02/2013;6355.4;6258.6;6355.4;6270.4;773036600
^FTSE;25/02/2013;6390.1;6324;6335.7;6355.4;994472400
^FTSE;22/02/2013;6347.3;6291.5;6291.5;6335.7;704666000
^FTSE;21/02/2013;6395.4;6278;6395.4;6291.5;733017000
^FTSE;20/02/2013;6412.4;6368.2;6379.1;6395.4;756333800
^FTSE;19/02/2013;6385.1;6304.4;6318.2;6379.1;672871800
^FTSE;18/02/2013;6330.2;6306.8;6328.3;6318.2;460474800
^FTSE;15/02/2013;6352.2;6309.8;6327.4;6328.3;636564400
^FTSE;14/02/2013;6364.7;6302;6359.1;6327.4;713898800
^FTSE;13/02/2013;6384.7;6311.6;6338.4;6359.1;756377600
^FTSE;12/02/2013;6338.4;6259.8;6277.1;6338.4;813154400
^FTSE;11/02/2013;6294.8;6252.3;6263.9;6277.1;448134200
^FTSE;08/02/2013;6278.1;6228.4;6228.4;6263.9;589359200
^FTSE;07/02/2013;6313;6216.7;6295.3;6228.4;721694400
^FTSE;06/02/2013;6321.5;6265.5;6282.8;6295.3;673857000
^FTSE;05/02/2013;6296.5;6244.1;6246.8;6282.8;613288000
^FTSE;04/02/2013;6347.3;6236.7;6347.2;6246.8;765970800
^FTSE;01/02/2013;6354;6275.5;6276.9;6347.2;686175200
^FTSE;31/01/2013;6323.1;6276.9;6323.1;6276.9;809629200
^FTSE;30/01/2013;6354.5;6316.3;6339.2;6323.1;691737600
^FTSE;29/01/2013;6346.4;6285.8;6294.4;6339.2;641748600
^FTSE;28/01/2013;6311.3;6277;6284.5;6294.4;541633400
^FTSE;25/01/2013;6284.5;6247.3;6264.9;6284.5;585555600
^FTSE;24/01/2013;6271.4;6186.5;6197.6;6264.9;655654800
^FTSE;23/01/2013;6200.5;6178.5;6179.2;6197.6;685179600
^FTSE;22/01/2013;6188.6;6149.2;6181;6179.2;558352800
^FTSE;21/01/2013;6182.2;6154.4;6154.4;6181;406293000
^FTSE;18/01/2013;6172.5;6131.9;6132.4;6154.4;713504600
^FTSE;17/01/2013;6135.9;6087.5;6104;6132.4;623129400
^FTSE;16/01/2013;6117.3;6076.1;6117.3;6104;818412000
^FTSE;15/01/2013;6117.3;6086.2;6107.9;6117.3;701563800
^FTSE;14/01/2013;6134.2;6104.9;6121.6;6107.9;628350000
^FTSE;11/01/2013;6121.6;6095.1;6101.5;6121.6;686181000
^FTSE;10/01/2013;6118.3;6090.6;6098.6;6101.5;764650200
^FTSE;09/01/2013;6112.3;6053.6;6053.6;6098.6;812116200
^FTSE;08/01/2013;6088.2;6053.6;6064.6;6053.6;663115600
^FTSE;07/01/2013;6091.5;6060.8;6089.8;6064.6;571661600
^FTSE;04/01/2013;6089.8;6038;6047.3;6089.8;548929200
^FTSE;03/01/2013;6051.3;6016.8;6027.4;6047.3;470665800
^FTSE;02/01/2013;6044.6;5897.8;5897.8;6027.4;652659400
^FTSE;31/12/2012;5925.4;5873.4;5925.4;5897.8;164636400
^FTSE;28/12/2012;5976;5915.3;5954.3;5925.4;306906200
^FTSE;27/12/2012;5997;5942.4;5954.2;5954.3;340703400
^FTSE;24/12/2012;5957.7;5937.1;5940;5954.2;149881200
^FTSE;21/12/2012;5958.3;5894.1;5958.3;5940;933059800
^FTSE;20/12/2012;5970.9;5950.1;5961.6;5958.3;596699400
^FTSE;19/12/2012;5977.8;5935.9;5935.9;5961.6;747948400
^FTSE;18/12/2012;5946.4;5911.1;5912.1;5935.9;664631200
^FTSE;17/12/2012;5923.9;5881;5921.8;5912.1;533505800
^FTSE;14/12/2012;5944.5;5915.3;5929.6;5921.8;529958200
^FTSE;13/12/2012;5947.9;5918.6;5945.9;5929.6;558011000
^FTSE;12/12/2012;5948.5;5915.9;5925;5945.9;629912400
^FTSE;11/12/2012;5937.9;5908.3;5921.6;5925;516458000
^FTSE;10/12/2012;5924;5891.3;5914.4;5921.6;463904000
^FTSE;07/12/2012;5923.1;5889.9;5901.4;5914.4;584102400
^FTSE;06/12/2012;5923.9;5889.6;5892.1;5901.4;637268600
^FTSE;05/12/2012;5902.7;5869;5869;5892.1;610548400
^FTSE;04/12/2012;5885.4;5852.9;5871.2;5869;598705000
^FTSE;03/12/2012;5902;5859.6;5866.8;5871.2;512099800
^FTSE;30/11/2012;5904.4;5860.3;5870.3;5866.8;699208800
^FTSE;29/11/2012;5884;5803.3;5803.3;5870.3;652938200
^FTSE;28/11/2012;5808.3;5755.2;5799.7;5803.3;610194800
^FTSE;27/11/2012;5823.2;5786.7;5786.7;5799.7;659091000
^FTSE;26/11/2012;5819.1;5773.9;5819.1;5786.7;601954400
^FTSE;23/11/2012;5830.5;5781.4;5791;5819.1;427505000
^FTSE;22/11/2012;5796.5;5752;5752;5791;511821600
^FTSE;21/11/2012;5760.1;5727.9;5748.1;5752;640338800
^FTSE;20/11/2012;5751.8;5706.7;5737.7;5748.1;803636400
^FTSE;19/11/2012;5739.7;5605.6;5605.6;5737.7;748670800
